DataSet Entry ID	Text	Tagger Pid	Date	Defect Severity	Injury Timing	Defective Component	Complaint Type	DERIVED-Defect	Comment	Authority?
55381727	So when I got this I was super stoked to finally have a dishwasher. My feeling of happiness quickly depleted when i realized that the hose to hook into my faucet was not going to fit. Since there was no way I was going to buy a new faucet I decided to return the dishwasher. I was also sad the my larger dishes did not fit in the unit, they were too big and they are not all that big.So i emailed the company and they sent me return directions. I was surprised that they did not have pre-printed labels for return, I sucked it up thinking that maybe they would return the shipping price when the refund the dishwasher. I have NEVER had to pay for both shipping to me and return shipping in all of my years of online shopping. One way sure, but not both. So I ended up paying over $100.00 in shipping costs which is half the price of the damn thing! So two weeks later, I still had not received my refund so i ended up having to email the company again. This morning I FINALLY get my email stating that the refunded me, but of course only the amount of the product and not the shipping as well. So I'm out over a $100 on a product I never got to use. I should have just bought a new damn faucet and kept the thing it probably would have saved me money. 	ctress10	10-18-2015 15:01:47	Performance Defect		Hose Component Defect	Other Complaint	Yes		false
36844672	Doesn't get dishes clean, even with pre-wash. The normal cycle takes over an hour. The sanitize takes about 3.5 hours to run. The locking mechanism is not well thought out. It has needed repairs. This time we are replacing it. I want my money back! 	ctress10	10-18-2015 15:06:24	Performance Defect		Latch Component Defect	Time Complaint	Yes		false
67108183	My family of four has had this DW for 5+ years.  It has stopped working three times.  I don't recall the exact amounts, but I estimate we have spent over $300 in repair and parts costs, all told.  Danby parts can't be obtained quickly/easily and I had one certified Danby Tech. in a 100 mile radius to call for help, glean from this what you will.  This is not the sort of machine that can be fixed by even the most adept DIYer.  The first breakdown was due to a plastic part well inside and protected, that cracked.  The second time it stopped working the repair person replaced the latch and coordinating sensor, saying that it was a common failure with this model.  I'm not paying to find out what's wrong this time, but it's been leaking every few cycles for weeks and now just won't go.  It has been five months since our last repair.When we purchased this machine it was one of the only 18 models to be found.  Now that larger manufacturers all have small 18 models available we will be purchasing one of these.  I'm leaning towards a GE, from Sears.  I am Looking forward to years of worry free use.  Unlike our experience with the Danby. 	ctress10	10-18-2015 15:11:50	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
17522301	Lifesaver.  When I say I don't like doing dishes, I mean it.  I moved into a small apartment on the beach 2 years ago... great location, but no dishwasher.This little guy gets the job done, and has plenty of room for 2 or 3 settings of 2-3 people.  Have had it almost 4 months, use it almost everyday and no problems to date. Cleans all the dishes and kitchenware extremely well.  For around $200, it was a steal! 	ctress10	10-18-2015 15:16:00	No Defect		No Component Defect	No Complaint	No		false
84776445	Purchased this dishwasher from Lowes little less than 2 years ago.  At first, really liked it.  Then downhill from there.Was super quiet initially then the motor became louder and louder.  While under 1 yr warranty, Lowes rep came out and replaced motor.  Apparently this is common based on discussions with him.The replaced motor is now getting louder, again.  But as of yesterday, the dishwasher stopped working entirely; like it didn't have power.  I checked everything (wiring, circuit, etc) and confirmed it has power but nothing will light up or even power on.  Called Samsung to troubleshoot and they stated its the control panel and needs to be replaced.As with another poster, the upper rack clip also broke within a year of purchase and I ended using plastic zip ties.Junk, junk, JUNK!Buyer beware!  Don't buy this! 	ctress10	10-18-2015 15:19:34	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
40458580	I decided to post this review after reading the one negative review it received.I'm giving it 4 out of 5 stars, because i can imagine there may be some other dishwasher out there that might be better; however i still feel this is a GREAT unit.I always rinse my dishes before loading them into a dishwasher, i think that's just good practice; so i never had a problem with it not cleaning the dishes properly.I've owned mine since 2010; Lived with it for about a year and a half,and now, I'm renting my place out where the tenant i'm renting to is using it - He's been living there for about a year and a half.  I was in his apartment the other day and noticed he was using the dishwasher - I'm sure if there was a problem with it, he'd have been washing dishes by hand.Additionally, I just ordered 2 more (because i've had such a good experience with mine)and will be putting them in 2 apartments i'm currently renovating - And will more than likely be putting it in another one, as soon as I'm done with the current 2.It looks cool.And it does a great job.The one bad review states it's difficult to organize your items ... but i've never had that problem.It's a small unit - You just got to make due with what you have - Seriously, if you need something small, and hate washing dishes, this is a GREAT unit.I highly recommend. 	ctress10	10-18-2015 15:26:11	No Defect		No Component Defect	Other Complaint	No		false
27419095	This dishwasher is absolutely wonderful. Was easy to set up (except be sure to push the washer arm down into place - mine had come out in shipping despite being very well packaged, no biggie). I can't believe how many dishes fit and get washed so thoroughly in this little thing! It does a perfect job of washing dishes. The hose goes on  off the faucet with ease in 2 seconds using their supplied adaptor. Seems very sturdy and well made. My only complaint was that the instructions tell you to be sure to use dishwasher detergent with chemicals. This is ridiculous - you can now purchase natural dishwasher detergent at most health food stores, and the one I am using works like a charm (Seventh Generation Automatic Dishwashing Detergent). My kitchen is tiny but this guy fits perfectly between counter and cupboard. I can't believe I waited so long to get a dishwasher, what a time saver!!!Update after using it daily for over 3 years: Love it even more!!! I have never had a single problem with it. Completely dependable and does a great job cleaning my dishes. Still using the natural dishwasher detergent with excellent results. 	ctress10	10-18-2015 15:31:36	No Defect		No Component Defect	Other Complaint	No		false
44437595	Purchased the unit based on the Matag history.  Worked fine for 6 months then it developed a load noise.Service said it was a warped motor assembly.  Had it replaced.  2 months later same problem they replaced the unit again.  Started making the noise again they finally decided that the stainless interior had warped and they needed to replace the entire unit.  Ordered replacement waited a week without washer and when it arrived as they were taking it out of the box they noticed that the bottom feet where bent and broken.  Ordered a replacement for the replacement and after another week it arrived and when opened the bottom of it was more damaged that the first one.  Vendor replaced it with a GE unit and am totally happy. Matag quality is not what it was. 	ctress10	10-18-2015 15:38:18	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
42863812	I have the previous version of Danby dishwasher, 496, but I want to comment on how great a machine it has been for me.  I bought the DDW496W almost 4 years ago, while living in small apartment, expecting my 4th child.  I knew I would never be able to keep up with the hand-washing any more.  I have never regretted the decision.  After getting used to the size of the machine and getting into the groove of what I could fit into it, I was very satisfied.The only trouble I have ever had with the machine is that the hoses have loosened a bit over time, and water has leaked under the machine.  Once I realized the problem, and tightened the hoses back up, the leaking stopped.  There was also a time when I noticed a black scum building up around the heating element, but it turned out to be a by-product of my natural dishwasher detergent and had nothing to do with the machine itself.  Another time, the machine sudsed all over the place, but that was because I had tried out a new detergent and added rinse guard all at once.  Too much detergent.  Now I use the basic store brand gels, about 1T per load, and never have any trouble with over-sudsing.We have a lot of dirty dishes, and I run my machine at least 3 times a day.  When a load is done, I either leave it in the Danby with the door all the way open to air dry, or unload it into a dish-drying rack and put in the next load (depending on how quickly I need to wash the next dishes).  It's worth it to me to run it 3 times a day, and only wash pots, pans, and other big items at the end of the day ... as opposed to washing every thing by hand every day.I also love the water-heating element.  It gets the water super-hot and cleans/sanitizes my dishes very well.With very little TLC, and running the machine so often, I am surprised at long it has lasted.  I still use it every day, now with six kids in a 3-bedroom apartment.I love this machine and I recommend it to anyone who is looking for an alternative to hand-washing all those dishes. 	ctress10	10-18-2015 15:47:10	No Defect		No Component Defect	No Complaint	No		false
48125850	We purchased this Sansung dishwasher and completely regret it. It simply does not work. It doesn't clean dishes very well and does not dry them at all. We ran the dishwasher and didn't open it until 2 days later. The dishes were soaking wet. We're in the process of trying to return it. Buyer beware! 	ctress10	10-18-2015 16:02:12	Performance Defect		No Component Defect	Multiple Complaints	Yes		false
