DataSet Entry ID	Text	Tagger Pid	Date	Defect Severity	Injury Timing	User Expertise	DERIVED-Defect	Comment	Authority?
22994140	This can pop 3-1/2 nails into glued beams with a Dewalt twin hotdog compressor. That should be enough info right there.It comes with a bump or pull trigger combo which is nice. You can rotate where the air blasts out, which is really nice so you don't get air-tool oil in your mouth.I've made two garages, a 18'x9', x20' tall green house, a chicken coup, and a few curtain walls. It pretty much pays for itself the first building you build because you save so much time. You really need the angle on the nail feed, helps get into places.Air gun nails are really good, because they are banded together with glue, so when the nail gets driven in, they get glued at the same time.You can use it without putting air tool oil in the air intake, but if you want it to hold up for a couple decades, there is a lot of friction in air tools, and oil reduces the friction, which reduces general wear and tear.All framing guns are built nearly identically. Most builders have their preference but it really comes down to little aesthetics like adjustable air release, trigger types, belt hooks, etc.Currently all my air-tools are porter cable. I have their pin nailer, brad nailer, finish nailer, stapler, and framing gun. If I use the correct pressure setting on my compressor, nails drive in every time. Even when my tiny compressor is catching up. I do not like the recoil of the auto-bump.. I tend to double bump when I push down. Not really a big deal. I'm not a pro-framer. One trigger pull, one nail is fast enough for me.I just ordered a Bosch framing gun. They just started a line after 4 years of research into full force technology apparently. It vents out the front. I haven't used that yet, but that's basically the only framing gun that isn't a standard build. It's about $100 more expensive though. I got it only because it was used, and for the right price. 	muellerp	10-17-2015 22:36:06	Performance Defect			Yes		false
34005336	I have a rolodex, I'm old fashioned and I do not have my contacts in my smartphone. I needed more blanks but was a little disappointed in how thin/papery these cards are. 	muellerp	10-17-2015 22:36:06	Performance Defect			Yes		false
27720586	This drill is fantistic.  It weighs about the same as my old 9.6 volt drill, but has much more power.  The balance is good and the chuck is exceptional.  It is perfect for the do-it-yourselfer and for moderate sized projects.  I am using it to install new deck boards on a dock and it is doing a great job.  If you have a really large project, you may want to purchase the larger batteries that are available from Makita, but for most projects the 1.5 AH batteries are all you need.  Recharge time is quick, so if you have 110 volt power available at the job site you don't really need larger bateries. 	muellerp	10-17-2015 22:36:06	No Defect			No		false
30155750	This compressor works well and does the things I want it to do. It is easy to move around to good locations. I am not a contractor, so I don't know how it would perform under more extreme use. 	muellerp	10-17-2015 22:36:06	No Defect			No		false
57836451	I ONLY USED THIS SAW ONCE AND IT WAS NOT BAD. IT SURE HAS PLENTY OF POWER. ITS A LITTLE HARD TO SEE THE BLADE WHILE YOUR CUTTING. I HAD A BLACK  DECKER SAW JUST LIKE THIS ONE AND IT FINALLY DIE AFTER MANY, MANY USES OVER THE PASED 15 YEARS. THIS ONE IS JUST AS GOOD. 	muellerp	10-17-2015 22:36:06	Safety Defect			Yes		false
42978601	It worked great (4 stars) for a week! Then it died. Tried to turn it on one day and nothing. Was working fine the evening before, nothing obvious is wrong with it.Even more disappointing, I have no been able to get in touch with the seller/manufacturer for an exchange.... Very disappointed. 	muellerp	10-18-2015 02:12:16	Performance Defect			Yes	Poor customer service	false
51748812	I've used this twice, and really, for the price, it's a nifty little tool. I had originally looked at the peticure, but read reviews about the battery not lasting long, plus it costs twice as much. Thought I'd try this and it works great-especially if using rechargeable batteries. I know I didn't want a cord, and the batteries in a rechargeable unit will eventually wear out. This is great-if it runs down, you can pop in charged batteries and it keeps going.I'm sure you can pay twice as much and get a better unit, but at least for me and my little chihuahua/terrier, this one does the job. 	muellerp	10-18-2015 02:12:16	No Defect			No		false
36106483	I've been using this little router for some 20 years now and it is my go-tool for any most of my routing tasks.  I have half a dozen routers in the shop, including some very expensive and precision units, but this little guy is so handy that unless I need super stability or precision micro-adjustments, I grab this one.  It has done miles of laminate and counter-edge trimming of oak and other hardwoods, and after probably hundreds of hours of use it is still running as new.Is it perfect?  No.  The height adjustment is at best, primitive.  I've just learned how to set its depth-of-cut with minimum follow-up corrections.  The nut that is supposed to secure the base to the body needs to be tightened with pliers, since hand tightening is just not enough to prevent it from loosening and then moving during a cut.  My trimmer came with the full laminate-trimming kit in a nice steel carrying case, and back when laminate counter tops were still acceptable in kitchens, this kit was great.I routinely abuse this little machine by doing long 12#8221; radius roundovers on long beams and such, and it has never overheated or shown any signs of stress. I like the fact that it has a shaft-lock so that only one wrench is required to change bits.  The button is not very well placed, however, and I seem to hit it occasionally during use.  No damage has resulted, but it makes a lot of noise and is no doubt not good for the tool.  Also, the power switch is not placed well, as it is a two-handed operation to shut the machine off.Bottom line:  After more than 20 years of use, I'd replace this tool with another just like it. 	muellerp	10-18-2015 02:12:16	Performance Defect			Yes		false
22092424	Great product!  Highly recommended.  Very low profile so easy to carry and stow away.  The power of the suction is excellent.  Will never try to go back to any kind of hand-held vacuum. 	muellerp	10-18-2015 02:12:16	No Defect			No		false
58630303	This is an amazing sander.  I Build custom furniture (mostly tables) and after much reading I decided to buy this sander and I'm glad I did.  I actually haven't sanded anything with it yet other than some testing I've done with it.  But what I have done has shown me that this is a very effective sander with almost no vibration on the highest setting.  If you run it on a lower speed there is some vibration but as you turn the speed up the vibration lessens and almost disappears on it's highest setting.  It's very smooth and can be easily controlled with one hand.  Ive only tested it with 120 grit so far but the material removal seems great, and I also got no swirl marks.  This is a professional tool for sure.  But it should be for 230 dollars.  I'm really starting to become a fan of Bosch toolsMy only complaint is not with the tool itself but with amazon.  My sander appears to have been used before.  The pad was in excellent condition (brand new) and the tool itself seems fine.  But it definitely had been out of the box before.  There was a gray scuff on the white part of the pad, and the body of the the sander had some marks on it that I had to wipe off, but the dead give away was the tiny lint all over the black rubber grips on the tool which indicated someone had used the tool and then cleaned it up.  There appears to be nothing wrong with it and I don't feel like waiting 2 weeks to get a replacement so I'm going to keep it but I wanted to warn others.  I've read other reviews where people complain about things like this.  I would say if you could buy this locally then do so.  You just don't know what you're going to get with amazon.  I ordered a set of bailey chisels a couple weeks ago and they arrived scattered all over the place lose in the box.  Thankfully the edge guards stayed on them and there was no damage to any of them.  But I really can't rate amazon's service very high because their shipping department sucks and they sell privously used tools before properly cleaning them for resale. 	muellerp	10-18-2015 02:12:16	No Defect			No	Overall no product defect, but there was a complaint with the overall service from Amazon.  Product works great and is safe.	false
