DataSet Entry ID	Text	Tagger Pid	Date	Review Type	Defect Severity	Defect Type	Defect Resolution	Software Defect	Hardware Defect	Comment	Authority?
45836094	I need the tracking number of this buyed, because i didnt received this item yet 	jwilets	11-15-2015 15:57:50	Complaint	Other	No Defect	No Defect	No Defect	No Defect	Delivery issue	false
90576060	This has been a great choice for me. As a cell phone novice I love the slide out QWERTY keyboard which does  make this phone is a little heavy for a pocket.  The touch screen is very responsive and I find the battery life excellent.  Be sure you power it  	jwilets	11-15-2015 15:57:50	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
2693703	There were no scratches or anything! It looked brand new and I was so happy and it came on the expected date and I loved how I got it so cheap. 	jwilets	11-15-2015 15:57:50	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
59323996	Have had it about 15 months, when it works it is fine, nothing special but does the job. The problem is most of the time it doesn't, something is always wrong with it, it will reset, freeze, restart, drop calls, not receive or send texts, apps crash, came 	jwilets	11-15-2015 15:57:50	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
47718118	My first experience with a blu was terrible, it was the blu vivo 4.3, the phone was slow and very unresponsive, with poor battery life,imagine it took 5 minutes to boot up! After being burnt I was hesitant about trying another of their products but I have 	jwilets	11-15-2015 15:57:50	Complaint		Hardware	No Resolution Specified	Hardware	Internal Hardware		false
55174991	I give 30% rating as the charged phone does not last an hour after being charged. The phone seems fully charged though. 	belijah3	11-15-2015 21:09:39	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
7073464	I'll start with the things I like about the phone before getting to why you shouldn't buy it. It's fast, a nice size, feels solidly built, awesome screen, good sound quality, has MicroSD expansion. Camera is pretty good. Beautiful design.That's only a bri 	belijah3	11-15-2015 21:09:39	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
91450748	received in great condition, works great on my cricket service 	belijah3	11-15-2015 21:09:39	No Defect	No Defect	No Defect	No Defect	No Defect	No Defect		false
73036216	Bought this for someone outta the country and he is in love with this device, I thought it was rather big but he loves it. It works perfect. 	belijah3	11-15-2015 21:09:39	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
58008853	My review is of the ACTUAL MyTouch 3G Phone itself, not the transaction details.This is by far the worst phone I have owned.I have used this phone for over 2 years on the T-Mobile Service, am a soon to be former decade+ long customer. I Replaced this MyTo 	belijah3	11-15-2015 21:09:39	Complaint	Other	Both	Other	Hardware	Software		false
25563590	I've never had problems with poor reception on Virgin Mobile phones. Some of the very cheapest models once in a while were a problem, but this one is ridiculously bad. #34;Can you hear me now? No. How about now? No.#34; You'll be playing that old commer 	belijah3	11-15-2015 21:20:57	Complaint	Performance Defect	Both	No Resolution Specified	Hardware	Software		false
49343404	For the hardware it's hard to beat at $20 but I just tried updating just the apps that google wants to update and ran out of memory.  Even APPMGR doesn't help because you aren't allowed to delete or move the google apps.6/23/2014 update: I returned this p 	belijah3	11-15-2015 21:20:57	Complaint	Performance Defect	Software	Return	Operating System	No Defect		false
58044559	Awesome phone, great battery life, easy to use, I would prefer for long calls. Awesome sound clarity. Would be the best for rough use. 	belijah3	11-15-2015 21:20:57	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
70701732	I really really love my Motorola G, its so useful, runs fast, there are some heavy games that I can download and play without problem.Battery is most awesome aspect of this phone, something that I hate about smartphones is the s***ty batteries. With this, 	belijah3	11-15-2015 21:20:57	Comparison	No Defect	No Defect	No Defect	No Defect	No Defect		false
60211501	This phone worked ok when i first got it, but after a couple of weeks the touch screen would feeze up when i was texting and i had to reset it ever time it did that. Also when i go some where i keep my phone in my back pocket but every time i would put it 	belijah3	11-15-2015 21:20:57	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
57678692	this phone no contain english language &gt;&gt; i cant use my phone what can i do now ?? 	belijah3	11-15-2015 21:31:59	Complaint	Performance Defect	Software	No Resolution Specified	Settings	No Defect		false
61952609	its good one. 	belijah3	11-15-2015 21:31:59	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
63274262	Upgraded from HTC Inspire 4g... this phone is unreal.Battery is 100% better than Inspire, screen is beautiful and this thing is fast.  Videos look amazing.  Love the quick burst photo option that takes several photos and chooses the best one.  I ran sever 	belijah3	11-15-2015 21:31:59	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
39559679	I think this phone is great. its perfect. i love it. the most common complaint ive seen is battery life. i would disagree. i think the battery life is great! (coming from the palm pre plus). I think its perfect size, i wanted a big screen and thats what i 	belijah3	11-15-2015 21:31:59	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
8130532	Always losing connection with bluetooth, or static when using bluetooth headset.Constantly losing connecting tethering using bluetooth.Activesync suddenly doesn't work and has errors without explanation.Low volume probably due to tiny speaker.Slow when sw 	belijah3	11-15-2015 21:31:59	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
56570313	Funciona genial en Venezuela tiene sentilde;al 3 g con movilnet recomendado y excelente el producto!!! Gracias por la rapidez en el envio 	belijah3	11-15-2015 21:39:12	No Defect	No Defect	No Defect	No Defect	No Defect	No Defect	Spanish.	false
75263485	in going to try to save everyone some trouble. do not purchace this phone it has been nothing but problems the battery only last 3-5 hours max charged. it will say it's charging when it isn't even plugged in. it will say its fully charged when its dead. i 	belijah3	11-15-2015 21:39:12	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
5809011	Amazon blocked this the first time, so here we go again...I like the phone.  It's powerful and it isn't clogged by carrier Apps.  32GB is more than large enough for my uses.  Camera could be better, but image stabilization is a real bonus.  This is my poi 	belijah3	11-15-2015 21:39:12	Neutral	Performance Defect	Hardware	No Resolution Specified	Hardware	Camera		false
90590523	I tried one out at the prada store and was really unimpressed. The apps are all kinda crappy looking, and typing is absolutely impossible. Only saving grave is that its really small. 	belijah3	11-15-2015 21:39:12	Complaint	Performance Defect	Software	No Resolution Specified	Applications	No Defect		false
74403697	Wish i had a Smart Phone, but after I retired my phone stopped ringing and family and friends call me on my land line since I spend more time at home and no longer travel for work.  Uses the Verizon network, a necessity where I live and spend time at the  	belijah3	11-15-2015 21:39:12	Complaint	Performance Defect	Hardware	No Resolution Specified	No Defect	Software		false
83688858	The radio antenna is quite good and the speaker is loud enough, I really feel this feature is so functional! 	belijah3	11-15-2015 21:53:00	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
36126269	These little phones are great to have around especially if you do anything around water. No worries if it gets wet and it works great. 	belijah3	11-15-2015 21:53:00	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
